"pic_id","measured_radius","inc_std.error","inc_statistic","inc_p.value","slope_std.error","slope_statistic","slope_p.value","model_adj.r.squared","model_sigma","model_statistic","model_p.value","model_df","model_logLik","model_AIC","model_BIC","model_deviance","model_df.residual","n","radius","mean_increment","age","larvae_id","KorTobis_sample_id","right_left","year","sd_lgd","slope","intercept","r2","st_date","st_julian_day","hatch_date","hatch_julian","area","stlondec","stlatdec"
"PK_02_25-04-09_10_i1_hX40",2,0.387028706513836,-1.32209496099155,0.208927949376547,0.0098537670089149,6.49242447890232,0.0000202739783204014,0.746154124445673,0.316653745376035,42.1515756142501,0.0000202739783204015,2,-2.9616258513073,11.9232517026146,14.0474023059212,1.30350472798872,13,15,60.8549040815238,2.07465099800168,31.6924225428159,"PK_02_25-04-09_10","PK_02_25-04-09","h",2009,21,0.0639748381380792,-0.511688702641022,0.764285972699553,2009-04-25,114,2009-03-24,82,"FB",6.43233,56.61817
"PK_02_25-04-09_11_i1_vX40",1,0.643725584047285,0.828015318001878,0.445371444662782,0.0179984011210058,2.12404749859902,0.0870579938630987,0.369189829373291,0.175047128982112,4.51157777630473,0.0870579938630992,2,3.44398332566654,-0.88796665133308,-1.05023620416714,0.1532074868244,5,7,48.2307347589072,1.83722667858479,27.3659508039874,"PK_02_25-04-09_11","PK_02_25-04-09","v",2009,15.5,0.0382294588798541,0.533014644180857,0.474324857811076,2009-04-25,114,2009-03-29,87,"FB",6.43233,56.61817
"PK_02_25-04-09_11_i1_vX40",2,0.25449416397989,-2.10641144634936,0.0797675071882605,0.00713708227989155,9.54752695185072,0.0000753751480066349,0.927950383592976,0.0841519590165598,91.1552708963158,0.0000753751480066349,2,9.60026865266664,-13.2005373053333,-12.9622126802938,0.0424893132379485,6,8,47.0777021052714,1.74931771013273,27.4790075858872,"PK_02_25-04-09_11","PK_02_25-04-09","v",2009,15.5,0.0681414854248407,-0.53606942003635,0.938243185936837,2009-04-25,114,2009-03-29,87,"FB",6.43233,56.61817
"PK_02_25-04-09_12_i1_vX40",1,0.275584551413263,-1.62860838974465,0.120771861820641,0.00687977267395465,9.10041143134102,3.73251484967816e-08,0.811540633123107,0.320597543065738,82.8174882196824,3.73251484967816e-08,2,-4.57379145978599,15.147582919572,18.134779740234,1.85009012315618,18,20,66.4162951185339,2.2563893096045,32.5710490299521,"PK_02_25-04-09_12","PK_02_25-04-09","v",2009,22.5,0.0626087618870845,-0.448819312515657,0.821459547169259,2009-04-25,114,2009-03-23,81,"FB",6.43233,56.61817
"PK_02_25-04-09_12_i1_vX40",2,0.364934172692969,0.573576569147206,0.574228949372761,0.00970106158381492,4.5396717826181,0.000334931738351465,0.535628492708268,0.363810009172214,20.608619893899,0.000334931738351464,2,-6.28062326896865,18.5612465379373,21.2323618116258,2.11772356438218,16,18,61.6122068510925,2.00640361314056,32.7396989212745,"PK_02_25-04-09_12","PK_02_25-04-09","v",2009,22.5,0.0440396355334851,0.209317690737807,0.562944463725428,2009-04-25,114,2009-03-23,81,"FB",6.43233,56.61817
"PK_02_25-04-09_13_i1_hX40",1,0.260054613869339,-0.635958655806204,0.531364230778879,0.00515794106832964,10.9896638548934,2.11078695702594e-10,0.838904789751264,0.406602480653951,120.772711643551,2.11078695702593e-10,2,-11.4123256289339,28.8246512578679,32.3588127489117,3.63716270002683,22,24,93.5566039514414,3.05303947386313,36.0929095680402,"PK_02_25-04-09_13","PK_02_25-04-09","h",2009,28,0.0566840385242927,-0.165383982672546,0.845908929327296,2009-04-25,114,2009-03-20,78,"FB",6.43233,56.61817
"PK_02_25-04-09_13_i1_hX40",2,0.2398030252283,0.237314258345292,0.815249334419843,0.00555830873734531,9.92287842452198,1.73413437494634e-08,0.844106601045471,0.365687378222794,98.4635162278438,1.73413437494633e-08,2,-6.78963569693082,19.5792713938616,22.412588331361,2.27336339605483,17,19,85.8215644646129,2.97517228055712,34.1236144524334,"PK_02_25-04-09_13","PK_02_25-04-09","h",2009,28,0.0551544218466358,0.0569086770810114,0.852767345431834,2009-04-25,114,2009-03-22,80,"FB",6.43233,56.61817
"PK_02_25-04-09_14_i1_hX40",1,0.25401775009959,-0.303290098362015,0.766467947844737,0.00626690771508988,8.53822544649965,1.08856377832136e-06,0.83702224512906,0.204750704374608,72.9012937752541,1.08856377832137e-06,2,3.57861007052269,-1.15722014104539,0.966930462261242,0.544997062244677,13,15,63.5275722432638,2.15766691418841,32.1734438049889,"PK_02_25-04-09_14","PK_02_25-04-09","h",2009,22.5,0.0535082709238454,-0.0770410684134024,0.848663513334127,2009-04-25,114,2009-03-24,82,"FB",6.43233,56.61817
"PK_02_25-04-09_14_i1_vX40",2,0.408069690175732,-0.169199170900136,0.868060366488595,0.0103060356871375,4.85014405471598,0.000257192212270254,0.600254742744582,0.347090786172852,23.5238973514968,0.000257192212270255,2,-4.70406296415362,15.4081259283072,17.7258920950266,1.68660819384524,14,16,62.7342408587698,1.99872180593058,33.3807848255667,"PK_02_25-04-09_14","PK_02_25-04-09","v",2009,22.5,0.0499857577156606,-0.0690450532472093,0.62690442656161,2009-04-25,114,2009-03-23,81,"FB",6.43233,56.61817
"PK_02_25-04-09_15_i1_vX40",1,0.654892916441982,-0.0604682112673405,0.952974146069238,0.0114049418234114,4.448205263412,0.00123859451040058,0.630705557987752,0.38324718124034,19.7865300654462,0.00123859451040058,2,-4.42443166398572,14.8488633279714,16.3035832773354,1.46878401928666,10,12,81.5322876721285,2.53584355222572,36.26501730287,"PK_02_25-04-09_15","PK_02_25-04-09","v",2009,24.5,0.0507315222478061,-0.0396002032288985,0.664277779988866,2009-04-25,114,2009-03-20,78,"FB",6.43233,56.61817
