"pic_id","mark_no"
"CY_25_22-04-06_17_i1_hX40",3
"CY_25_22-04-06_17_i1_vX40",2
"CY_25_22-04-06_18_i1_hX40",2
"CY_25_22-04-06_18_i1_vX40",2
"CY_25_22-04-06_19_i1_hX40",2
"CY_25_22-04-06_19_i1_hX40",3
"CY_25_22-04-06_19_i1_hX40",4
"CY_25_22-04-06_19_i1_hX40",5
"CY_25_22-04-06_19_i1_hX40",6
"CY_37_01-05-06_02_i1_vX40",2
"CY_37_01-05-06_02_i1_vX40",3
"CY_37_01-05-06_02_i1_vX40",4
"CY_37_01-05-06_03_i1_vX40",2
"CY_37_01-05-06_03_i1_vX40",3
"CY_37_01-05-06_03_i1_vX40",4
"CY_37_01-05-06_03_i1_vX40",5
"CY_37_01-05-06_04_i1_hX40",2
"CY_37_01-05-06_04_i1_hX40",3
"CY_37_01-05-06_05_i1_hX40",2
"CY_37_01-05-06_05_i1_hX40",3
"CY_37_01-05-06_05_i1_hX40",4
"CY_37_01-05-06_05_i1_vX40",2
"CY_37_01-05-06_05_i1_vX40",3
"CY_37_01-05-06_05_i1_vX40",4
"CY_37_01-05-06_09_i2_vX40",2
"CY_37_01-05-06_09_i2_vX40",3
"CY_37_01-05-06_09_i2_vX40",4
"CY_37_01-05-06_09_i2_vX40",5
"CY_37_01-05-06_10_i1_vX40",2
"CY_37_01-05-06_11_i1_hX40",28
"CY_37_01-05-06_11_i1_hX40",30
"CY_37_01-05-06_11_i1_hX40",32
"CY_37_01-05-06_11_i1_vX40",2
"CY_37_01-05-06_11_i1_vX40",3
"CY_37_01-05-06_12_i1_hX40",2
"CY_37_01-05-06_12_i1_hX40",3
"CY_37_01-05-06_12_i1_hX40",4
"CY_37_01-05-06_12_i1_hX40",5
"CY_37_01-05-06_12_i1_vX40",2
"CY_37_01-05-06_12_i1_vX40",3
"CY_37_01-05-06_13_i2_hX40",2
"CY_37_01-05-06_14_i1_vX40",2
"CY_37_01-05-06_14_i1_vX40",3
"CY_37_01-05-06_14_i1_vX40",4
"CY_37_01-05-06_14_i1_vX40",5
"CY_37_01-05-06_14_i1_vX40",6
"CY_37_01-05-06_15_i1_hX40",2
"CY_37_01-05-06_15_i1_vX40",2
"CY_37_01-05-06_15_i1_vX40",3
"CY_37_01-05-06_15_i1_vX40",24
"CY_37_01-05-06_17_i1_hX40",2
"CY_37_01-05-06_18_i1_vX40",19
"CY_37_01-05-06_18_i1_vX40",20
"CY_37_01-05-06_20_i1_hX40",2
"CY_37_01-05-06_20_i1_hX40",23
"CY_38_02-05-06_01_i1_hX40",2
"CY_38_02-05-06_01_i2_vX40",2
"CY_38_02-05-06_01_i2_vX40",3
"CY_38_02-05-06_01_i2_vX40",4
"CY_38_02-05-06_01_i2_vX40",5
"CY_38_02-05-06_01_i2_vX40",6
"CY_38_02-05-06_03_i1_vX40",2
"CY_38_02-05-06_05_i1_hX40",2
"CY_38_02-05-06_05_i1_hX40",3
"CY_38_02-05-06_07_i2_hX40",2
"CY_38_02-05-06_07_i2_hX40",3
"CY_38_02-05-06_07_i2_hX40",4
"CY_38_02-05-06_07_i2_hX40",2
"CY_38_02-05-06_07_i2_hX40",3
"CY_38_02-05-06_07_i2_hX40",4
"CY_38_02-05-06_07_i2_hX40",5
"CY_38_02-05-06_07_i2_hX40",6
"CY_38_02-05-06_07_i2_hX40",7
"CY_38_02-05-06_07_i2_hX40",8
"CY_38_02-05-06_07_i2_hX40",9
"CY_38_02-05-06_10_i1_hX40",2
"CY_38_02-05-06_11_i1_vX40",13
"CY_38_02-05-06_17_i1_hX40",2
"CY_38_02-05-06_17_i1_hX40",3
"CY_38_02-05-06_18_i1_hX40",2
"CY_38_02-05-06_18_i1_hX40",3
"CY_38_02-05-06_18_i1_hX40",4
"CY_38_02-05-06_18_i1_hX40",5
"CY_38_02-05-06_18_i1_hX40",6
"CY_38_02-05-06_18_i1_vX40",3
"CY_38_02-05-06_18_i1_vX40",2
"CY_38_02-05-06_18_i1_vX40",4
"CY_38_02-05-06_19_i1_hX40",2
"CY_38_02-05-06_19_i1_vX40",2
"CY_38_02-05-06_20_i1_vX40",2
"CY_38_02-05-06_20_i1_vX40",3
"DA_04_18-04-08_01_i1_hX40",2
"DA_04_18-04-08_01_i1_hX40",3
"DA_04_18-04-08_01_i1_hX40",4
"DA_04_18-04-08_01_i1_hX40",5
"DA_04_18-04-08_01_i1_vX40",2
"DA_04_18-04-08_01_i1_vX40",3
"DA_04_18-04-08_01_i1_vX40",4
"DA_04_18-04-08_01_i1_vX40",5
"DA_04_18-04-08_01_i1_vX40",6
"DA_04_18-04-08_02_i1_hX40",2
"DA_04_18-04-08_02_i1_hX40",3
"DA_04_18-04-08_02_i1_hX40",4
"DA_04_18-04-08_02_i1_vX40",2
"DA_04_18-04-08_02_i1_vX40",3
"DA_04_18-04-08_02_i1_vX40",4
"DA_04_18-04-08_03_i1_vX40",2
"DA_04_18-04-08_03_i1_vX40",3
"DA_04_18-04-08_03_i1_vX40",4
"DA_04_18-04-08_03_i1_vX40",5
"DA_04_18-04-08_05_i1_hX40",2
"DA_04_18-04-08_05_i1_hX40",3
"DA_04_18-04-08_05_i1_hX40",4
