larvae_id,tlgd,sd_lgd
PK_07_19-04-09_18,NA,30.5
PK_07_19-04-09_19,34.1,30.6
PK_07_19-04-09_20,42.8,39
PK_02_25-04-09_01,15.9,14.2
PK_02_25-04-09_02,19,NA
PK_02_25-04-09_03,NA,17
PK_02_25-04-09_04,23.4,21
PK_02_25-04-09_05,NA,15.4
PK_02_25-04-09_06,NA,18.1
PK_02_25-04-09_07,20.5,18.2
PK_02_25-04-09_08,NA,16.6
PK_02_25-04-09_09,NA,16.6
PK_02_25-04-09_10,NA,21
PK_02_25-04-09_11,17.9,15.9
PK_02_25-04-09_12,NA,22.8
PK_02_25-04-09_13,31.3,28
PK_02_25-04-09_14,25.4,22.5
PK_02_25-04-09_15,27.5,24.8
PK_02_25-04-09_16,NA,23.7
PK_02_25-04-09_17,29.6,26.6
PK_02_25-04-09_18,30.6,27.5
PK_02_25-04-09_19,30.9,27.8
PK_02_25-04-09_20,31.1,34.1
PK_02_05-05-09_01,17.9,16.5
PK_02_05-05-09_02,29.1,26.5
PK_02_05-05-09_03,26.3,23.9
PK_02_05-05-09_04,31.2,28.3
PK_02_05-05-09_05,NA,32
PK_02_05-05-09_06,23.3,24.8
PK_02_05-05-09_07,27.3,24.3
PK_02_05-05-09_08,27.3,24.8
PK_02_05-05-09_09,29.2,26.6
PK_02_05-05-09_10,34,31
PK_02_05-05-09_11,29.6,27
PK_02_05-05-09_12,33.8,30.8
PK_02_05-05-09_13,31.3,28.4
PK_02_05-05-09_14,32.7,29.6
PK_02_05-05-09_15,36.9,33.3
PK_02_05-05-09_16,36.5,32.9
PK_02_05-05-09_17,36.1,32.8
PK_02_05-05-09_18,NA,NA
PK_02_05-05-09_19,40.7,36.8
PK_02_05-05-09_20,36.1,32.8
PK_02_17-04-09_01,NA,20.5
PK_02_17-04-09_02,NA,18
PK_02_17-04-09_03,NA,21.5
PK_02_17-04-09_04,20.7,18.8
PK_02_17-04-09_05,NA,22
PK_02_17-04-09_06,24.3,21.9
PK_02_17-04-09_07,26.5,24
PK_02_17-04-09_08,25,22.5
PK_02_17-04-09_09,28.3,26.1
PK_02_17-04-09_10,28.7,26.3
PK_02_17-04-09_11,32.8,29.8
PK_02_17-04-09_12,35.2,32
PK_02_17-04-09_13,NA,29.1
PK_02_17-04-09_14,35.2,32
PK_02_17-04-09_15,NA,27.6
PK_02_17-04-09_16,35.3,32.5
PK_02_17-04-09_17,35.4,32.9
PK_02_17-04-09_18,NA,35
PK_02_17-04-09_19,40.1,36.2
PK_02_17-04-09_20,42.2,38.1
PK_06_26-04-09_01,NA,30
PK_06_26-04-09_02,NA,37
PK_06_26-04-09_03,NA,33.8
PK_06_26-04-09_04,NA,27.6
PK_06_26-04-09_05,NA,33.5
PK_06_26-04-09_06,NA,30.8
